id,contents_id_content,categories_id_category
734,f327ff06-d8ce-4b20-93c3-3f9d9eb7c577,1
735,ca16876e-f5f2-490c-8e21-b630a3f74389,1
736,d9c91604-1d9d-482f-b66d-8856e963c475,1
737,475b2b80-64c2-446f-bd3e-a4dd15817e30,1
738,308220f6-1f6c-4b3b-892b-775b0d81815c,1
739,220ae712-48a9-4485-be66-8f82360b92f1,1
740,e6855914-61c3-4d61-a30a-3de1a5b2ba61,1
741,917fb902-9f99-446d-8a34-bb86923d1fc3,1
742,146d5658-c53f-4b32-810b-36eda729367e,1
743,532273a9-ad23-4d42-ad10-ce363e14667b,1
744,33eeb3c4-c9f1-4a0c-9562-aeb8c31d8ef2,1
745,aa036e90-566e-4ba2-b866-38b45f867c91,1
746,718ef92d-0641-4b2e-8e76-980023ff6815,1
747,3d8eeb62-4e06-417b-a729-c7049d62d1b5,1
748,a7df2d5e-b34a-4c71-a5dc-c9181a0f55f3,1
749,9979d2cb-b3ff-4714-975e-10b6c56d88d7,1
750,b36f0668-0035-4901-a8b1-89dcbec0367b,1
751,0a117644-ab17-4789-be07-d4e815545f89,1
752,61ee41df-b8ce-4be9-a2b4-2cd36474c17f,1
753,f53c4828-d058-4aa3-8166-e057f07d50c4,1
754,290cc17f-7032-4c7a-88d2-4ffe952aba75,1
755,6be5095c-fc61-4748-84df-5d778fe13561,1
756,d32bdafb-749b-4332-8a90-68afd451d3bd,1
757,e9a0fc58-32b4-415a-871e-16fc02311749,1
758,f3d496fc-8331-4454-8cbf-39d257d09504,1
759,bd661c7a-02b4-402c-be86-223691f14da0,1
760,40cc8c4a-9389-42a0-8638-8b2df07caf31,1
761,6509e3b9-3090-4179-b6b9-92c06ac6de56,1
762,709e26e7-a602-4a6b-a912-a128336beefc,1
763,bf7b8f6a-090e-497a-aee4-ea00e33e7a56,1
764,3c5ee7ab-1c2c-4f5a-95ff-7ed57dd25104,1
765,d4e19327-789e-4057-886c-acb20220cd10,1
766,a4338365-3305-4db3-a474-bab4cea041b0,1
767,ef900852-0097-4158-a253-3a0f629d2075,1
768,222a0dcc-0bf4-442c-b4a1-9e110d91e508,1
769,28d4314a-80d7-46f9-80b8-e274540fbb39,1
770,379d08e1-937a-44fc-b4e3-ea609219f654,1
771,d32b6f10-a2e0-424c-b037-214aab8551ef,1
