id,title,category_id,type,module,url
00181119-61c1-4c48-b3a1-9978e63abca7,Statistik daerah Kecamatan Kedungkandang 2011,5,publikasi,publikasi,https://webapi.bps.go.id/download.php?f=/1sWEaVch7KOfTZAymsrBElhVkl3Qk55MFhYNEVJeXk5MGpIVGgxTjFqVzV2amplbjhPZjdTR2dybENwdytQbUo3UGZxMjYxVlJxMGpraUluN1FldVJYM3ZoM0YwaFFoUm5qMkU2dkVhL1o3Q0NGRGZlWUJmQ0d2YVFoM3lpY0hrR1J1L21iaTIrY0VEY1NXcUtTKzBhUTVYcWNXd2FNUHczTXI5Q0swOERRS3VMY0pMbGhzeWM5eGM1Q3VjRi84SGxvUnJQZEcrZ09vaXVyZWZLOTI4Vnh0Sk1tYUdRSkIwR3VrUVhzUDRYcUE3RXJhSGh1QUJ0Qi9oaDB2ZjdENStuN2tqQ00zcm9nWWUzYVMreVFlc1E4UWlCVkR3alp6bUtvdk9RPT0=
00191b3f-e0bf-44ba-9eee-b1f2abf63b75,Kota Malang Dalam Angka 2014,5,publikasi,publikasi,https://webapi.bps.go.id/download.php?f=fjw1RJFu7cfQ4XVrXaUXb2FYRWpnaUQ5d0FLRHhobUhKRUNhUlVHcW9jQkg4Vno1MVAyNDhQbUtBd2hXcDJqUmZlNUJTVStnVTd4UThFRzA1clFtTDhubjFZQ3JpdnUvd2k2OTdNUEZDRE1mbkJlNjliR0xrWmhVY3lMbCswU1JRSnJiWmludkdDcWpqVGFRZTJ3cmorVksweGI1U2VZZWhPc2Myak4rak9mYTloblhGb2YrYUJGNGJTOGlFZFIweDdSWXFzV0RqT0VjeHcwcFZVQWZTb0lIZXQvYjZ0cG91L2tCdDNtNVdkVFc1WjVLNHVhQ1FPMlZrYkdFejlKT3dXNG14WUNQempkZGFKZmY=
003829c6-372d-4b42-b843-0f34e44ada7b,"Tingkat Penghunian Kamar (TPK) Kota Malang pada Mei 2025 sebesar 44,50 persen",1,brs,brs,https://webapi.bps.go.id/download.php?f=t1xvk+S6D5+ze5o9IypaGStTN1JxS05VNU1PZmprVWtLSVUxN2VPWDB6NG9XSkZwWTdySy9ua244UUtaWHpzS3Z0Nk04aDhXWlROcFhvaVVCTXBNQTBOSGEvTzBJUyt3VHRWaVpjd1JxSm14bkNOUjZ4UDUxclljYXdRRmFQaXIyOENOc09BenZwemk3UWFPcEhzSmY5eGdMTGF1ajdwa0dRcWsvOUNlaktCTEZSTndjVGVQVU1oNllWNGFta3REV1dCN3pxU2gxU0NyUUtYSjdLejY3cXlVYUFQZGcwSW1mK21jYmtST05OazI4M3BsWmZJN3QyT1VFRVk9
007ec38c-e135-4904-abcb-f317f230156b,Statistik Hortikultura Kota Malang 2021,6,publikasi,publikasi,https://webapi.bps.go.id/download.php?f=biySSlovPp9h/QFRBn5se1RsS0JNc0RjUTlncE9GQXFsWlFYMzVNQS9rNFNnMmZhYXpsOVlQSFpHVitqV3h2dVhtUGhXeXRlaHowY0RxWHp0QTFGcFEySU13N0J6WDZrVWUvNkc5aU9kTVBVeVNpTWlaTVFuUXQyTys4VTRRbHdYUkJiR0xBcXp5VDlIdWV0TWVSTlBiclI2VytsazAxbDc1K3RReDJGUkVhTWY5YUdUUW5uWFV1cXpxc0xQb3BrZzhuVGphYmU2OEFmWDc1QUYzZTNkb0xvK0VHUUFrRE5ZN29Cam9FUEh6OW9IWTdQOFdUb2E1MUU3clptNVk1citHVTNveG10NXZCSnBvNGFOZkRzQm00YXJ3SXFLa29vdmJod1p3PT0=
00be2cb2-54e9-49e5-8a36-c61d3b5376a6,Statistik Industri Besar dan Sedang Kota Malang 2015,1,publikasi,publikasi,https://webapi.bps.go.id/download.php?f=xWL2MJtqJWLT/vxCEtTnVXgxRE02cVoxM0lMQmJ4cU1QQXdNeHc0VFEzZW9aZlhURUlLQnhJbTZJQ1ZDWHdlTmxmaGRtVi9TaVlpV0RMNFlHYkt1eG1pYUU0S3hpNnVLSnFOcEdqN29MRzd0SWYxQ1R6WGhVbkJrUGtxdU5HNVRCMHV3V3ZvcG1CV1h3WnB2OEd3MkRtNytJMzdodzY3OFZYYis1RE02WG9xYktBTDJjY2RwRmJXS1dCZUdiazRvMHdQRlhhbEJsUm9OR0ozK1YyWS9qK3ZrWkFQak5FYmpLb2xYZDJwUXRSVy9qWXQrb2M2bXhRR0NFbWJndzNPNnN3SWY5NERnNzBRbnZ1ZGVuZ2dIdGVTV0RDVzkwenlhYUdaMmRnPT0=
00cad0c5-a50b-47b5-b733-716df8798f8c,Perkembangan Indeks Harga Konsumen/Inflasi Oktober  2014,1,brs,brs,https://webapi.bps.go.id/download.php?f=qxe6CAPRyoL4O4D2iSGvGDU4aktvZFg5WUJ4UFVsWEVYRXYzaEh5S1M0eDVyK3A0VzJkMk5yS3VvYXIyc0w2VmlNMTBJSlg3WE93Q2J0VmJjY2ZZMHNtRjVyMkN3bEdyUlhPNHBHYzZIcEpCQXYvejdsclN4MzRma1haNlJrck42MzlSZU1SSTVUNURqWnNJektwTFBORytLdUNhSXZJUG50SDZNVFBDM1M2Uml0RmhZek5JcGYwNCtKWnl0VVBpZDJSckFTaXZuZnZhQm9QcVJ1K281TW45UkV6T1lBT2dsaG9JSUZOZnlRVHpvZkVZc1pLcjlNUXpZdEFjR0taVndGQ252dWJlQnYzQXNaV3ljbUdQdTdBWHVrWEVxcUFpR0ZvTWpESnlvU1Q4YTJsT2Jqc3czZEFjUlFSRjdyZHhGUVFJUFRZbWh4VHBBcjBvSjVBYWsrdGhmdG16QnlHcHRRWVUxL1FBTUg1ak9SemJWMWYyKzRTcTJHZW9BTmltR2c5QVNUeEEzMjBjNkFKcQ==
01484596-3eeb-4787-b744-6c40ce544cd9,Perkembangan Indeks Harga Konsumen (Oktober 2025)(1)2025-10-01,1,infografis,infografis,https://webapi.bps.go.id/download.php?f=sw6F7i4G8tgPc7mXZj5a+1ZPMC80cURqNHR0WU0yd3FOYVNRd0JJVWhjOWhZa0RCK1VLZlFXcDJvUjlzc0RsNXZabHpxWEE3NXVrM0FnSHlFcUI3T3ZuYlh1bHRQbzFNMGs0cEFKd3dzR2xTMFJuQTgyeFF5OEpmZXZEUk1udi9aeHRrWHpNVmEzeDZTOXQ0b1B0bEd2bU1URlhLK1g5bTN0QTdZeGxwdFR1dHo5ck1FMDBmVzZ2Qmp3S2J5alZtWWJzNlFDNUV2eldadXpDVEtQK0xJZzdJeU5YNUkxNVhEdG5KWXRMVWp5MnJKV00vVk1qNE5HakZyYkU9
015542d0-a45f-40be-a7c8-a3fdd55fb33c,Inflasi Kota Malang 2021,1,publikasi,publikasi,https://webapi.bps.go.id/download.php?f=FF/SGjZKD5sU0RwfiPMW7k91WURnbzlTc1Vha3NQTlJJNjJRSGY4QlQxU0ZNWWw4eDlCZEhwd2hqVlB4V1Y1WVN3QWwwN0QzSWUwOHhTdDdFeFlIeFFGOFZpNEp4Nlh2TVhYZGlJZGZSbU9pbytXS2RYRlpzaitFd2tWY00xK2gwc05CQzFGT2dxUFVWU3pCMEJ6YUhiQTJpcnRyc0lkTjZxQVZVSmNmYUNIRktOa1JZT1VtUmorWnRkV09kcEFBdkFNWkpIQlBGYkZGVy90RGVFcFNINVNNQkVhSExLTG9ESy9Fc2VkYVRQMjZPMnFUa3NrNk1sOWdseFNUODluVkQ2b0tUOGZ1NTEvZ2ovcTY=
015f1ca8-9286-4c4e-80cd-454b475307a7,"Perkembangan Pariwisata Kota Malang, Desember 2024",1,infografis,infografis,https://webapi.bps.go.id/download.php?f=5Y1eKL17nXDyZJ1wAT8On0xramQ5Z0tQZWhzRXYrUitBSEFuZkVpeGlyK0dVNUFQWEtidEhBeHdCRVcwek9UTGh3b0FudjJnSE1JR0FDVmprRFJ0U0E4c2h5VHdLUndCbXhPTW5yakpvY1lIb1l5WjgranROcjg3WTJuU1Fxc2pLL1ViWDhZeG9BOWR5aWcwMy9lQXRtc05TRFpOZE05WWp0bUg0NDQwR1dOL0NobVdKa0tOQm53ODNOSWRVVWxqekF6VFl6MHM5dTI3am81K2lqTWZHaU1LRTE3NkZzQjZaSzEzY1NhbVFMQzlmNWNBYlRWU0RiVndhMWZpR1FyUktqZkVHS1hIbFd6ZzBjd20xVnd4VkxnY09ZNWZTMFIxSytJaGRBPT0=
0167e3f2-6fbb-426c-8bdb-05e5dd683bd6,"Perkembangan Pariwisata Kota Malang, April 2024",1,infografis,infografis,https://webapi.bps.go.id/download.php?f=p5Dx+7sHbANPoE4upmr1/XZMTUVleGRZams4TTJpa1pWQmNxbGNOa1JEVnRIUys0TTRqK0pyZmpZa2dZNlE1dXpNZlZ6SVd1WHg0M1BTdnFQZ2ZRWlZhZVpyWnFVTHFmN0J1TlYyVlNSMVFvRVEzdVlmc1R4M2xDQ0t6ZnlieTJHQmJtTnNEamVWUHgxNWw4RW04OTExZUlQdkE3V0U5d3VXZWYxdlJJaEhobzFJaGhvSGYwUDdsVUZTV2IwZmFoRDM2VXk2TUFtaDN0VmpoMVYxc3kvQ2I1UnVWTk1IdkZ6RzhrWUJVZDBoWUFZS3FmK01RSTZCQ1hTclhSK3NwYzg5VmNCNkxMdmU4TkxwblFBWGIvckZjOGZOV1hOeFE0Rmx5cEVnPT0=
