user_id,perekonomian,tenaga_kerja,ipm,kemiskinan,kependudukan,pertanian,kesejahteraan
015dcef6-8cb6-4dcc-9463-06ca5b11691f,0.0062,0.0,0.5,0.0,0.0939,0.0,0.0
04519834-c652-41d4-8891-3101290b5b37,0.0,0.0,0.0,0.2505,0.2934,0.0,0.5
04b81499-143a-427b-b93f-af8cc61c529c,0.0,0.0,0.5,0.1814,0.0,0.0,0.0
056f9cfc-407b-4837-a21d-49a22350e6aa,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0591c6da-30a3-4ab5-9118-dabfd6bca670,0.5,0.0,0.0,0.0,0.0,0.0,0.0
05f5ce3c-ebe0-4dbf-8918-fad114cf99fd,0.0,0.0,0.0,0.5,0.0,0.1918,0.0
061bce08-6ac4-415b-9bcf-2e45cc16e43b,0.5,0.0,0.0,0.0,0.0,0.0,0.0
08bbaa3b-030e-4523-b87e-c396f8f6addd,0.0,0.0,0.0,0.0,0.0,0.5,0.0
08f1f771-9918-4885-a8de-3e5392971edb,0.0,0.0,0.0,0.0,0.5,0.0,0.2944
0ca8437e-c1c4-486a-af62-a8cec7611294,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0da3af5d-6fe4-4dae-94fd-5f838557c37f,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0de79fb9-d394-466f-84d9-417160a5813c,0.0,0.0,0.0,0.0,0.5,0.0,0.0
11a83c71-051b-4565-8524-26daa9243797,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1236cc02-5721-4a03-9654-f79d404ab90d,0.0,0.5,0.1612,0.0,0.0,0.0,0.0725
12de4e28-f383-4a69-bf8b-e638f1b17124,0.0,0.0,0.5,0.4336,0.0,0.0,0.0843
130cda9e-6682-4afc-a9d6-b8b24e7ffe47,0.01,0.0,0.1545,0.0,0.5,0.03,0.0
137f574c-51b4-4365-9a4b-e9a828488f2a,0.0,0.0,0.0,0.5,0.0,0.0,0.0
153537e9-99db-41d4-b817-4e1103a6a4ec,0.0,0.5,0.035,0.0,0.0,0.0,0.0
16888ca0-1129-4850-a4f7-30d71ab70f05,0.0,0.0,0.0,0.0,0.0442,0.5,0.0
1696b5f4-90a0-4111-bfd7-5c74c97460a8,0.0,0.1876,0.0,0.5,0.0648,0.0,0.0
16e0d911-eef1-4a93-a491-d79102dbf13e,0.5,0.0,0.098,0.0,0.0,0.0,0.0
17476dee-edb9-4501-a3d9-3bc433853c92,0.5,0.0,0.0,0.0,0.0,0.0,0.0
17685e63-4055-4ec6-823c-492e7cc3f82d,0.0,0.0,0.0,0.5,0.0,0.1262,0.0
18f76173-cdf6-46f5-981c-3b166310dd97,0.0,0.0,0.5,0.0,0.0,0.0,0.0
19b9ed50-f8c1-4fbe-a1a9-e9ca93089c08,0.0,0.0,0.0,0.0,0.5,0.0,0.0
19e21114-7032-49df-ab26-52891228de02,0.0,0.0,0.0,0.0,0.5,0.0,0.4685
1af53968-413d-435c-8025-64bb27104da6,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1bc71c80-6ad5-41f4-a74c-529bf42fc0e8,0.2012,0.0,0.0898,0.5,0.0057,0.0,0.0
